instante;testa_pequena_r;testa_pequena_g;testa_pequena_b;testa_pequena_px;testa_grande_r;testa_grande_g;testa_grande_b;testa_grande_px;bochechas_r;bochechas_g;bochechas_b;bochechas_px;conjunto_pequeno_r;conjunto_pequeno_g;conjunto_pequeno_b;conjunto_pequeno_px;conjunto_grande_r;conjunto_grande_g;conjunto_grande_b;conjunto_grande_px;fundo_r;fundo_g;fundo_b;caixa_x;caixa_y;caixa_l;caixa_a
11.31621;222.3280;191.7612;188.5298;2567;221.1050;192.8771;189.0723;4884;217.8195;190.8204;185.2990;5906;219.7558;191.4146;186.7940;6883;218.7219;190.9458;186.1366;12167;215.3832;219.6205;225.8518;202;40;246;246
11.33686;222.3280;191.7612;188.5298;2567;221.1050;192.8771;189.0723;4884;217.8195;190.8204;185.2990;5906;219.7558;191.4146;186.7940;6883;218.7219;190.9458;186.1366;12167;215.3832;219.6205;225.8518;202;40;246;246
11.37462;221.8380;190.1155;186.1528;2519;220.9948;191.8062;187.3083;4830;217.4138;190.9975;185.3586;5892;219.4993;191.0892;185.9326;6839;218.5172;190.7175;185.6092;12175;214.8253;218.9443;225.4323;202;40;246;246
11.39621;221.8380;190.1155;186.1528;2519;220.9948;191.8062;187.3083;4830;217.4138;190.9975;185.3586;5892;219.4993;191.0892;185.9326;6839;218.5172;190.7175;185.6092;12175;214.8253;218.9443;225.4323;202;40;246;246
11.43342;224.2532;195.4198;190.8710;2480;223.4279;196.9482;191.7170;4791;216.4086;188.9841;183.0157;5851;219.3415;191.3728;185.8850;6767;218.5992;191.2115;185.6519;12145;215.2011;219.1368;225.3967;202;40;246;246
11.48570;221.8506;189.7115;186.6751;2530;220.2767;190.5099;186.9255;4901;218.2423;192.1277;186.7638;5910;219.9529;191.5300;187.0383;6859;218.6978;190.8566;186.1772;12272;215.1255;219.2735;225.5709;202;40;246;246
11.52927;221.8506;189.7115;186.6751;2530;220.2767;190.5099;186.9255;4901;218.2423;192.1277;186.7638;5910;219.9529;191.5300;187.0383;6859;218.6978;190.8566;186.1772;12272;215.1255;219.2735;225.5709;202;40;246;246
11.55017;223.0572;192.3276;189.2879;2518;222.4743;194.3867;190.5704;4830;216.5719;188.7811;183.4161;5842;218.9851;190.2181;185.7132;6826;218.4953;190.2456;185.6074;12145;214.4253;217.8211;224.3927;202;40;246;246
11.59019;223.0572;192.3276;189.2879;2518;222.4743;194.3867;190.5704;4830;216.5719;188.7811;183.4161;5842;218.9851;190.2181;185.7132;6826;218.4953;190.2456;185.6074;12145;214.4253;217.8211;224.3927;202;40;246;246
11.61465;222.1232;191.3009;188.3790;2499;221.7347;193.1559;189.3941;4867;217.5592;190.9253;185.9131;5812;219.1948;190.8383;186.7817;6766;218.7636;191.0906;186.5685;12281;215.2304;219.2289;225.5487;202;40;245;245
11.65331;222.1232;191.3009;188.3790;2499;221.7347;193.1559;189.3941;4867;217.5592;190.9253;185.9131;5812;219.1948;190.8383;186.7817;6766;218.7636;191.0906;186.5685;12281;215.2304;219.2289;225.5487;202;40;245;245
11.67391;221.4114;188.9822;185.7083;2523;221.1831;191.7536;187.7049;4833;217.7871;191.0183;185.1841;5795;219.1009;190.0769;185.1960;6851;218.6873;190.4606;185.4674;12221;214.4929;217.9641;224.4932;202;40;245;245
11.72563;223.3039;195.1199;190.7743;2468;223.3341;197.5724;192.5107;4762;216.7957;189.1062;184.1954;5809;219.0347;190.9431;186.4675;6824;218.7332;191.4209;186.4435;12157;215.0908;219.2524;225.5940;202;40;245;245
11.74328;223.3039;195.1199;190.7743;2468;223.3341;197.5724;192.5107;4762;216.7957;189.1062;184.1954;5809;219.0347;190.9431;186.4675;6824;218.7332;191.4209;186.4435;12157;215.0908;219.2524;225.5940;202;40;245;245
11.78958;220.7402;189.8160;185.7901;2544;220.6347;192.1400;187.5218;4906;218.6314;192.9321;187.4112;5849;219.5131;191.7635;186.6865;6893;218.8521;191.6842;186.6390;12431;215.0563;219.5417;225.8432;202;40;245;245
11.81115;221.2807;190.6937;186.4585;2569;220.8654;192.4966;187.7978;4940;218.4857;192.7244;187.2512;5899;219.9240;192.4593;187.3005;6908;218.9262;191.8580;186.7881;12405;215.0563;219.5417;225.8432;202;39;246;246
